REGION,TECHNOLOGY,YEAR,VALUE
"R1","TRANSMISSION",2020,64.661095890411
"R1","TRANSMISSION",2021,66.0249739726028
"R1","TRANSMISSION",2022,67.3884952054795
"R1","TRANSMISSION",2023,68.7523732876713
"R1","TRANSMISSION",2024,70.115894520548
"R1","TRANSMISSION",2025,71.4797726027398
"R1","TRANSMISSION",2026,72.8436506849316
"R1","TRANSMISSION",2027,74.2071719178083
"R1","TRANSMISSION",2028,75.5710500000001
"R1","TRANSMISSION",2029,76.9345712328768
"R1","TRANSMISSION",2030,78.2984493150686
"R1","TRANSMISSION",2031,79.6623273972604
"R1","TRANSMISSION",2032,81.0258486301371
"R1","TRANSMISSION",2033,82.3897267123288
"R1","TRANSMISSION",2034,83.7532479452056
"R1","TRANSMISSION",2035,85.1171260273974
"R1","TRANSMISSION",2036,86.4810041095891
"R1","TRANSMISSION",2037,87.8445253424659
"R1","TRANSMISSION",2038,89.2084034246576
"R1","TRANSMISSION",2039,90.5719246575343
"R1","TRANSMISSION",2040,91.9358027397261
"R1","TRANSMISSION",2041,93.2996808219179
"R1","TRANSMISSION",2042,94.6632020547946
"R1","TRANSMISSION",2043,96.0270801369864
"R1","TRANSMISSION",2044,97.3906013698631
"R1","TRANSMISSION",2045,98.7544794520549
"R1","TRANSMISSION",2046,100.118357534247
"R1","TRANSMISSION",2047,101.481878767123
"R1","TRANSMISSION",2048,102.845756849315
"R1","TRANSMISSION",2049,104.209278082192
"R1","TRANSMISSION",2050,105.573156164384
"R1","TRANSMISSION",2051,106.937034246575
"R1","TRANSMISSION",2052,108.300555479452
"R1","TRANSMISSION",2053,109.664433561644
"R1","TRANSMISSION",2054,111.027954794521
"R1","TRANSMISSION",2055,112.391832876712
"R1","TRANSMISSION",2056,113.755710958904
"R1","TRANSMISSION",2057,115.119232191781
"R1","TRANSMISSION",2058,116.483110273973
"R1","TRANSMISSION",2059,117.846631506849
"R1","TRANSMISSION",2060,119.210509589041
"R1","TRANSMISSION",2061,120.574387671233
"R1","TRANSMISSION",2062,121.93790890411
"R1","TRANSMISSION",2063,123.301786986301
"R1","TRANSMISSION",2064,124.665308219178
"R1","TRANSMISSION",2065,126.02918630137
"R1","TRANSMISSION",2066,127.393064383562
"R1","TRANSMISSION",2067,128.756585616438
"R1","TRANSMISSION",2068,130.12046369863
"R1","TRANSMISSION",2069,131.483984931507
"R1","TRANSMISSION",2070,132.847863013699
"R1","MINE_WATER",2020,1127.412
"R1","MINE_WATER",2021,1104.86376
"R1","MINE_WATER",2022,1082.31552
"R1","MINE_WATER",2023,1059.76728
"R1","MINE_WATER",2024,1037.21904
"R1","MINE_WATER",2025,1014.6708
"R1","MINE_WATER",2026,992.12256
"R1","MINE_WATER",2027,969.574320000001
"R1","MINE_WATER",2028,947.026080000001
"R1","MINE_WATER",2029,924.477840000001
"R1","MINE_WATER",2030,901.929600000001
"R1","MINE_WATER",2031,879.381360000001
"R1","MINE_WATER",2032,856.833120000001
"R1","MINE_WATER",2033,834.284880000001
"R1","MINE_WATER",2034,874.026775380048
"R1","MINE_WATER",2035,958.918404180048
"R1","MINE_WATER",2036,1043.81003298005
"R1","MINE_WATER",2037,1128.68928282005
"R1","MINE_WATER",2038,1213.58091162005
"R1","MINE_WATER",2039,1298.46016146005
"R1","MINE_WATER",2040,1383.35179026005
"R1","MINE_WATER",2041,1468.24341906005
"R1","MINE_WATER",2042,1553.12266890005
"R1","MINE_WATER",2043,1638.01429770005
"R1","MINE_WATER",2044,1722.89354754005
"R1","MINE_WATER",2045,1807.78517634005
"R1","MINE_WATER",2046,1892.67680514005
"R1","MINE_WATER",2047,1977.55605498005
"R1","MINE_WATER",2048,2062.44768378005
"R1","MINE_WATER",2049,2147.32693362005
"R1","MINE_WATER",2050,2232.21856242005
"R1","MINE_WATER",2051,2375.24905794005
"R1","MINE_WATER",2052,2529.97655394005
"R1","MINE_WATER",2053,2684.72880786006
"R1","MINE_WATER",2054,2839.45630386005
"R1","MINE_WATER",2055,2994.20855778005
"R1","MINE_WATER",2056,3148.96081170005
"R1","MINE_WATER",2057,3303.68830770005
"R1","MINE_WATER",2058,3384.67240584
"R1","MINE_WATER",2059,3468.4656776
"R1","MINE_WATER",2060,3508.6073792
"R1","MINE_WATER",2061,3548.74908080001
"R1","MINE_WATER",2062,3588.8802796
"R1","MINE_WATER",2063,3629.0219812
"R1","MINE_WATER",2064,3693.45284352
"R1","MINE_WATER",2065,3740.76522864
"R1","MINE_WATER",2066,3788.07761376
"R1","MINE_WATER",2067,3828.62239760001
"R1","MINE_WATER",2068,3869.17779248
"R1","MINE_WATER",2069,3909.72257632
"R1","MINE_WATER",2070,3957.03496144001
"R1","HYDRO",2034,86190.8611872789
"R1","HYDRO",2035,148664.547945206
"R1","HYDRO",2036,148664.547945205
"R1","HYDRO",2037,148647.419178083
"R1","HYDRO",2038,148664.547945205
"R1","HYDRO",2039,148647.419178083
"R1","HYDRO",2040,148664.547945205
"R1","HYDRO",2041,148664.547945206
"R1","HYDRO",2042,148647.419178083
"R1","HYDRO",2043,148664.547945204
"R1","HYDRO",2044,148647.419178084
"R1","HYDRO",2045,148664.547945205
"R1","HYDRO",2046,148664.547945204
"R1","HYDRO",2047,148647.419178083
"R1","HYDRO",2048,148664.547945206
"R1","HYDRO",2049,148647.419178083
"R1","HYDRO",2050,148664.547945206
"R1","HYDRO",2051,229111.298630135
"R1","HYDRO",2052,245296.438356164
"R1","HYDRO",2053,245330.695890414
"R1","HYDRO",2054,245296.438356164
"R1","HYDRO",2055,245330.69589041
"R1","HYDRO",2056,245330.695890413
"R1","HYDRO",2057,245296.438356162
"R1","HYDRO",2058,143257.697716832
"R1","HYDRO",2059,147144.75129376
"R1","HYDRO",2060,86744.0730593608
"R1","HYDRO",2061,86744.0730593603
"R1","HYDRO",2062,86729.5403348558
"R1","HYDRO",2063,86744.0730593584
"R1","HYDRO",2064,120352.985083717
"R1","HYDRO",2065,96666.1479452063
"R1","HYDRO",2066,96666.1479452047
"R1","HYDRO",2067,87301.8179604268
"R1","HYDRO",2068,87316.5004566195
"R1","HYDRO",2069,87301.8179604287
"R1","HYDRO",2070,82569.0013698629
"R1","MINE_FOSSIL",2020,2535.5808
"R1","MINE_FOSSIL",2021,2694.354948
"R1","MINE_FOSSIL",2022,2853.100962
"R1","MINE_FOSSIL",2023,3011.87511
"R1","MINE_FOSSIL",2024,3170.621124
"R1","MINE_FOSSIL",2025,3329.395272
"R1","MINE_FOSSIL",2026,3488.16942
"R1","MINE_FOSSIL",2027,3646.915434
"R1","MINE_FOSSIL",2028,3805.689582
"R1","MINE_FOSSIL",2029,3964.435596
"R1","MINE_FOSSIL",2030,4123.209744
"R1","MINE_FOSSIL",2031,4281.983892
"R1","MINE_FOSSIL",2032,4440.729906
"R1","MINE_FOSSIL",2033,4599.504054
"R1","MINE_FOSSIL",2034,4616.6815784999
"R1","MINE_FOSSIL",2035,4531.2742064999
"R1","MINE_FOSSIL",2036,4445.8668344999
"R1","MINE_FOSSIL",2037,4360.4594624999
"R1","MINE_FOSSIL",2038,4275.0520904999
"R1","MINE_FOSSIL",2039,4189.6447184999
"R1","MINE_FOSSIL",2040,4104.2373464999
"R1","MINE_FOSSIL",2041,4018.8299744999
"R1","MINE_FOSSIL",2042,3933.4226024999
"R1","MINE_FOSSIL",2043,3848.0152304999
"R1","MINE_FOSSIL",2044,3762.6078584999
"R1","MINE_FOSSIL",2045,3677.2004864999
"R1","MINE_FOSSIL",2046,3591.7931144999
"R1","MINE_FOSSIL",2047,3506.3857424999
"R1","MINE_FOSSIL",2048,3420.9783704999
"R1","MINE_FOSSIL",2049,3335.5709984999
"R1","MINE_FOSSIL",2050,3250.1636264999
"R1","MINE_FOSSIL",2051,3032.6224664999
"R1","MINE_FOSSIL",2052,2788.4690804999
"R1","MINE_FOSSIL",2053,2544.2875604999
"R1","MINE_FOSSIL",2054,2300.1341744999
"R1","MINE_FOSSIL",2055,2055.9526544999
"R1","MINE_FOSSIL",2056,1811.7711344999
"R1","MINE_FOSSIL",2057,1567.6177484999
"R1","MINE_FOSSIL",2058,1491.091128
"R1","MINE_FOSSIL",2059,1408.151888
"R1","MINE_FOSSIL",2060,1424.448896
"R1","MINE_FOSSIL",2061,1440.745904
"R1","MINE_FOSSIL",2062,1457.038648
"R1","MINE_FOSSIL",2063,1473.335656
"R1","MINE_FOSSIL",2064,1434.401892
"R1","MINE_FOSSIL",2065,1434.401892
"R1","MINE_FOSSIL",2066,1434.401892
"R1","MINE_FOSSIL",2067,1449.75467
"R1","MINE_FOSSIL",2068,1465.111466
"R1","MINE_FOSSIL",2069,1480.464244
"R1","MINE_FOSSIL",2070,1480.464244
"R1","FOSSIL",2021,27582.7397260273
"R1","FOSSIL",2022,30968.2123287671
"R1","FOSSIL",2023,30971.780821918
"R1","FOSSIL",2024,30968.212328767
"R1","FOSSIL",2025,30971.780821918
"R1","FOSSIL",2026,30971.7808219179
"R1","FOSSIL",2027,30968.2123287669
"R1","FOSSIL",2028,30971.7808219179
"R1","FOSSIL",2029,30968.2123287672
"R1","FOSSIL",2030,30971.7808219177
"R1","FOSSIL",2031,30971.780821918
"R1","FOSSIL",2032,30968.2123287671
"R1","FOSSIL",2033,30971.7808219176
"R1","FOSSIL",2034,13011.7829147509
"R1","FOSSIL",2058,21265.2079528291
"R1","FOSSIL",2059,20448.2681380013
"R1","FOSSIL",2060,33038.8797564684
"R1","FOSSIL",2061,33038.879756469
"R1","FOSSIL",2062,33034.770421106
"R1","FOSSIL",2063,33038.8797564687
"R1","FOSSIL",2064,8073.45668441094
"R1","FOSSIL",2067,1947.33358701181
"R1","FOSSIL",2068,1947.84322678844
"R1","FOSSIL",2069,1947.33358701128
